Year,Afghanistan,Algeria,Angola,Antigua and Barbuda,Argentina,Australia,Austria,Azerbaijan,Bahamas,Bangladesh,Belarus,Belgium,Bolivia,Bosnia,Botswana,Brazil,Britain,Brunei,Bulgaria,Cambodia,Cameroon,Canada,Chad,Chile,Colombia,Congo,Croatia,Cuba,Cyprus,Czech Republic,Democratic Republic of the Congo,Denmark,Djibouti,Ecuador,Egypt,Eritrea,Ethiopia,Finland,France,Gabon,Georgia,Germany,Ghana,Greece,Guinea,Guinea-Bissau,Guyana,Hungary,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Ivory Coast,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kuwait,Kyrgyzstan,Laos,Liberia,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Mauritius,Mexico,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Korea,Norway,Oman,Pakistan,Panama,Papua New Guinea,Peru,Philippines,Poland,Portugal,Qatar,Russian Federation,Rwanda,Samoa,Sao Tome,Saudi Arabia,Serbia,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,South Africa,South Korea,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Togo,Trinidad-Tobago,Tunisia,Turkey,Turkmenistan,UAE,USA,Uganda,Ukraine,Uzbekistan,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe
2005,0.0,0.0,0.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,280.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,1420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,0.0,0.0,740.0,0.0,0.0,2920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0,0.0,0.0,110.0,480.0,0.0,430.0,0.0,0.0,0.0,0.0,0.0,1160.0,0.0,0.0,0.0,940.0,0.0,0.0,0.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,1910.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5410.0,0.0,0.0,0.0,0.0,0.0,0.0,970.0,0.0,0.0,0.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0,0.0
2007,2520.0,0.0,0.0,0.0,0.0,430.0,0.0,0.0,0.0,0.0,0.0,2790.0,0.0,0.0,0.0,0.0,3040.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,700.0,0.0,0.0,130.0,200.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,220.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.0,0.0,0.0,1430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,5600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2008,0.0,0.0,0.0,0.0,0.0,16250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,2010.0,0.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2800.0,0.0,0.0,140.0,0.0,5790.0,0.0,0.0,0.0,0.0,1200.0,130.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,150.0,0.0,0.0,0.0,810.0,0.0,0.0,1240.0,0.0,0.0,190.0,0.0,0.0,2490.0,0.0,110.0,0.0,0.0,2160.0,1580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,760.0,0.0,0.0,4970.0,0.0,0.0,0.0,0.0,0.0,470.0,0.0,0.0
2009,0.0,0.0,0.0,0.0,0.0,9130.0,140.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,1700.0,0.0,120.0,320.0,0.0,3480.0,470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,230.0,1760.0,8580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,740.0,0.0,750.0,0.0,0.0,0.0,1020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,1090.0,0.0,0.0,0.0,100.0,780.0,0.0,0.0,0.0,0.0,0.0,0.0,2180.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,260.0,0.0,0.0,7200.0,0.0,0.0,0.0,0.0,530.0,0.0,320.0,0.0,0.0,1190.0,0.0,8200.0,0.0,0.0,0.0,0.0,0.0,0.0,370.0,0.0
2010,0.0,0.0,0.0,0.0,5680.0,3340.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,13880.0,1130.0,0.0,0.0,890.0,500.0,7080.0,0.0,1910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1260.0,0.0,0.0,140.0,0.0,0.0,0.0,100.0,0.0,1200.0,0.0,0.0,0.0,0.0,190.0,0.0,830.0,0.0,0.0,0.0,1440.0,200.0,0.0,140.0,0.0,0.0,270.0,0.0,0.0,0.0,1230.0,0.0,0.0,0.0,0.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1480.0,0.0,0.0,270.0,0.0,0.0,4680.0,340.0,0.0,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830.0,0.0,0.0,0.0,0.0,0.0,260.0,0.0,0.0,0.0,0.0,450.0,1090.0,0.0,0.0,0.0,0.0,2700.0,0.0,1480.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,8820.0,0.0,0.0,300.0,900.0,0.0,0.0,0.0,0.0
2011,400.0,0.0,2170.0,0.0,1280.0,9880.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8220.0,510.0,0.0,0.0,500.0,540.0,5460.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,1280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3750.0,0.0,0.0,2040.0,0.0,120.0,0.0,0.0,0.0,1920.0,0.0,1870.0,0.0,0.0,0.0,0.0,130.0,0.0,0.0,1410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,1830.0,0.0,0.0,0.0,0.0,0.0,1010.0,0.0,0.0,0.0,0.0,0.0,140.0,270.0,0.0,0.0,0.0,0.0,2000.0,2090.0,0.0,880.0,0.0,0.0,0.0,0.0,0.0,3510.0,0.0,2940.0,0.0,0.0,0.0,3710.0,0.0,1490.0,1260.0,0.0,0.0,0.0,2330.0,0.0,500.0,280.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,850.0,0.0,0.0,0.0,0.0,2170.0,0.0,0.0,0.0,200.0,460.0,0.0,0.0,500.0
2012,0.0,0.0,0.0,0.0,0.0,9080.0,0.0,0.0,0.0,0.0,0.0,260.0,0.0,0.0,0.0,1750.0,7120.0,0.0,0.0,240.0,660.0,21570.0,0.0,190.0,980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,0.0,230.0,0.0,0.0,0.0,610.0,0.0,270.0,2700.0,0.0,0.0,1350.0,0.0,100.0,1200.0,200.0,2100.0,0.0,820.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,520.0,0.0,0.0,0.0,0.0,460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,0.0,0.0,0.0,0.0,1170.0,300.0,0.0,2630.0,0.0,0.0,0.0,200.0,0.0,1090.0,0.0,0.0,100.0,980.0,0.0,2510.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,480.0,900.0,0.0,150.0,0.0,0.0,0.0,870.0,0.0,140.0,520.0,0.0,270.0,190.0,0.0,0.0,850.0,0.0,0.0,8980.0,100.0,0.0,0.0,0.0,100.0,0.0,830.0,0.0
2013,0.0,0.0,2120.0,0.0,120.0,9060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3020.0,6330.0,0.0,0.0,410.0,0.0,470.0,0.0,0.0,0.0,2020.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,3100.0,0.0,0.0,0.0,890.0,0.0,0.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520.0,0.0,1250.0,0.0,240.0,0.0,0.0,0.0,160.0,0.0,5300.0,0.0,0.0,0.0,180.0,0.0,220.0,0.0,0.0,3230.0,0.0,0.0,0.0,0.0,280.0,0.0,0.0,0.0,4610.0,100.0,0.0,0.0,470.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2890.0,0.0,0.0,100.0,0.0,5310.0,0.0,0.0,150.0,0.0,0.0,0.0,1370.0,0.0,0.0,0.0,260.0,1110.0,550.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,0.0,450.0,16120.0,180.0,0.0,0.0,1400.0,230.0,0.0,0.0,0.0
2014,0.0,0.0,120.0,740.0,0.0,10060.0,0.0,0.0,0.0,0.0,0.0,710.0,0.0,0.0,0.0,1580.0,6920.0,3440.0,0.0,0.0,0.0,3600.0,370.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2040.0,0.0,0.0,300.0,0.0,3090.0,400.0,0.0,1620.0,110.0,0.0,2510.0,0.0,0.0,0.0,300.0,2590.0,350.0,0.0,0.0,1660.0,7860.0,0.0,730.0,0.0,0.0,1620.0,0.0,0.0,520.0,0.0,160.0,210.0,0.0,0.0,400.0,0.0,0.0,440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2160.0,0.0,2040.0,1110.0,0.0,0.0,0.0,0.0,640.0,0.0,890.0,0.0,0.0,6950.0,0.0,200.0,3090.0,0.0,3380.0,0.0,0.0,0.0,0.0,970.0,0.0,750.0,0.0,0.0,0.0,230.0,1600.0,540.0,390.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,880.0,0.0,0.0,0.0,320.0,600.0,0.0,17620.0,920.0,0.0,0.0,0.0,210.0,0.0,0.0,250.0
