Year,Agriculture,Chemicals,Energy,Entertainment,Finance,Health,Logistics,Metals,Other,Real estate,Technology,Tourism,Transport,Utilities
2005,0.0,180.0,6640.0,0.0,0.0,0.0,0.0,1310.0,150.0,0.0,1740.0,0.0,100.0,0.0
2006,480.0,0.0,10170.0,0.0,100.0,0.0,0.0,6470.0,120.0,1300.0,0.0,0.0,970.0,0.0
2007,0.0,700.0,3200.0,0.0,19460.0,0.0,150.0,5930.0,120.0,150.0,460.0,0.0,270.0,0.0
2008,340.0,0.0,15530.0,0.0,4650.0,360.0,0.0,22800.0,0.0,390.0,0.0,1550.0,6120.0,3040.0
2009,370.0,0.0,35670.0,0.0,3100.0,0.0,0.0,10300.0,900.0,4600.0,1500.0,250.0,910.0,0.0
2010,1580.0,300.0,41190.0,100.0,3030.0,270.0,250.0,8910.0,1560.0,3340.0,300.0,0.0,5510.0,0.0
2011,1610.0,4010.0,37660.0,400.0,2280.0,0.0,2340.0,11000.0,970.0,3720.0,1780.0,0.0,4740.0,0.0
2012,3750.0,0.0,40390.0,3170.0,2900.0,1020.0,940.0,12670.0,1720.0,5100.0,2140.0,130.0,2470.0,1120.0
2013,9640.0,460.0,35760.0,350.0,1020.0,980.0,470.0,6180.0,1150.0,13250.0,310.0,3530.0,2780.0,100.0
2014,7650.0,0.0,29270.0,2110.0,5970.0,590.0,1370.0,14490.0,1990.0,15500.0,8090.0,6610.0,6300.0,800.0
2015,1190.0,0.0,31400.0,3740.0,14040.0,2410.0,5430.0,5330.0,1480.0,15570.0,8690.0,4000.0,21300.0,730.0
2016,6090.0,1650.0,37280.0,22030.0,3080.0,2820.0,3060.0,4600.0,12470.0,16860.0,23650.0,22370.0,11240.0,1930.0
2017,45870.0,130.0,20980.0,6560.0,16620.0,5830.0,23880.0,4210.0,6110.0,15610.0,3590.0,4800.0,20790.0,110.0
2018,2940.0,1080.0,23070.0,4710.0,4810.0,6030.0,470.0,15280.0,13900.0,5160.0,8640.0,560.0,29770.0,1590.0
2019,2000.0,270.0,29950.0,9940.0,2360.0,2900.0,1210.0,11720.0,5970.0,4740.0,5390.0,1970.0,17880.0,0.0
2020,720.0,180.0,15300.0,4060.0,1400.0,1330.0,1990.0,4110.0,2170.0,4580.0,2620.0,180.0,6730.0,0.0
2021,540.0,520.0,15150.0,1810.0,920.0,3950.0,2150.0,7180.0,8400.0,960.0,2030.0,0.0,10320.0,100.0
2022,170.0,0.0,15960.0,550.0,3160.0,2210.0,140.0,8920.0,4630.0,1940.0,1780.0,0.0,4860.0,0.0
2023,1200.0,1560.0,13110.0,1520.0,540.0,1060.0,1630.0,15330.0,5620.0,1710.0,4290.0,120.0,15540.0,330.0
2024,910.0,3320.0,12130.0,2220.0,200.0,100.0,560.0,13230.0,2350.0,4420.0,2640.0,0.0,17190.0,140.0
2025,1070.0,1450.0,15890.0,2330.0,0.0,220.0,610.0,12810.0,6530.0,1540.0,4820.0,2070.0,17610.0,310.0
