Country,Stock 2005 (USD mn),Stock 2025 (USD mn),Share 2005 (%),Share 2025 (%),Change in share (percentage points)
USA,1740.0,204880.0,17.193675889328063,13.037806329266974,-4.155869560061088
Australia,320.0,108180.0,3.1620553359683794,6.8841755598404,3.7221202238720204
Britain,100.0,107050.0,0.9881422924901186,6.81226653430315,5.824124241813031
Brazil,0.0,80550.0,0.0,5.1259044309959725,5.1259044309959725
Switzerland,0.0,62870.0,0.0,4.00081454471405,4.00081454471405
Canada,250.0,57280.0,2.4703557312252964,3.6450875953749136,1.1747318641496172
Germany,0.0,56340.0,0.0,3.5852694679368478,3.5852694679368478
Indonesia,0.0,49350.0,0.0,3.140451690498463,3.140451690498463
Singapore,0.0,46830.0,0.0,2.9800881999198183,2.9800881999198183
France,0.0,37130.0,0.0,2.3628160338036057,2.3628160338036057
Russian Federation,0.0,34250.0,0.0,2.179543473142297,2.179543473142297
Malaysia,0.0,30030.0,0.0,1.910998262728852,1.910998262728852
Peru,0.0,29100.0,0.0,1.8518164983486378,1.8518164983486378
Italy,0.0,25750.0,0.0,1.6386348739682963,1.6386348739682963
Kazakhstan,4200.0,24560.0,41.50197628458498,1.5629076700839364,-39.93906861450104
Netherlands,0.0,21770.0,0.0,1.3853623769432937,1.3853623769432937
Democratic Republic of the Congo,0.0,20150.0,0.0,1.2822715615713076,1.2822715615713076
Finland,0.0,18480.0,0.0,1.1759989309100627,1.1759989309100627
Laos,0.0,17780.0,0.0,1.1314535168604392,1.1314535168604392
Chile,0.0,17550.0,0.0,1.1168171665298485,1.1168171665298485
India,0.0,17280.0,0.0,1.099635363967851,1.099635363967851
Sweden,0.0,17250.0,0.0,1.0977262747942955,1.0977262747942955
Pakistan,0.0,16560.0,0.0,1.0538172238025239,1.0538172238025239
Saudi Arabia,0.0,15700.0,0.0,0.999090000827272,0.999090000827272
Iraq,0.0,15560.0,0.0,0.9901809180173473,0.9901809180173473
South Korea,0.0,14890.0,0.0,0.9475445931412789,0.9475445931412789
Cambodia,280.0,14590.0,2.766798418972332,0.9284537014057259,-1.8383447175666061
Vietnam,0.0,14520.0,0.0,0.9239991600007637,0.9239991600007637
Guyana,0.0,14320.0,0.0,0.9112718988437284,0.9112718988437284
Japan,0.0,13840.0,0.0,0.8807264720668435,0.8807264720668435
Hungary,0.0,13800.0,0.0,0.8781810198354365,0.8781810198354365
Spain,0.0,13540.0,0.0,0.8616355803312906,0.8616355803312906
