Year,Afghanistan,Algeria,Angola,Antigua and Barbuda,Argentina,Australia,Austria,Azerbaijan,Bahamas,Bangladesh,Belarus,Belgium,Bolivia,Bosnia,Botswana,Brazil,Britain,Brunei,Bulgaria,Cambodia,Cameroon,Canada,Chad,Chile,Colombia,Congo,Croatia,Cuba,Cyprus,Czech Republic,Democratic Republic of the Congo,Denmark,Djibouti,Ecuador,Egypt,Eritrea,Ethiopia,Finland,France,Gabon,Georgia,Germany,Ghana,Greece,Guinea,Guinea-Bissau,Guyana,Hungary,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Ivory Coast,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kuwait,Kyrgyzstan,Laos,Liberia,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Mauritius,Mexico,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Korea,Norway,Oman,Pakistan,Panama,Papua New Guinea,Peru,Philippines,Poland,Portugal,Qatar,Russian Federation,Rwanda,Samoa,Sao Tome,Saudi Arabia,Serbia,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,South Africa,South Korea,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Togo,Trinidad-Tobago,Tunisia,Turkey,Turkmenistan,UAE,USA,Uganda,Ukraine,Uzbekistan,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe
2005,0.0,0.0,0.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,280.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,1420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,0.0,0.0,740.0,0.0,0.0,3240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0,0.0,280.0,0.0,360.0,480.0,0.0,430.0,0.0,0.0,500.0,0.0,0.0,1160.0,0.0,0.0,1420.0,940.0,0.0,0.0,0.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,6110.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2270.0,0.0,0.0,0.0,0.0,0.0,670.0,0.0,0.0,0.0,0.0,0.0,5410.0,0.0,0.0,0.0,0.0,0.0,0.0,970.0,0.0,0.0,0.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1740.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0,0.0
2007,2520.0,0.0,740.0,0.0,0.0,3670.0,0.0,0.0,0.0,0.0,0.0,2790.0,0.0,0.0,0.0,0.0,3940.0,0.0,0.0,280.0,0.0,360.0,680.0,0.0,430.0,0.0,0.0,500.0,0.0,0.0,1160.0,0.0,0.0,1420.0,1090.0,0.0,0.0,0.0,1180.0,0.0,0.0,130.0,200.0,0.0,0.0,0.0,0.0,0.0,250.0,100.0,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,6110.0,0.0,0.0,0.0,510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,200.0,0.0,0.0,0.0,220.0,0.0,0.0,240.0,0.0,0.0,0.0,2270.0,0.0,0.0,0.0,460.0,0.0,670.0,1430.0,0.0,0.0,0.0,0.0,5410.0,0.0,0.0,0.0,1200.0,0.0,0.0,970.0,0.0,0.0,0.0,5830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,10140.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0,100.0
2008,2520.0,0.0,740.0,0.0,0.0,19920.0,0.0,0.0,0.0,0.0,0.0,2790.0,0.0,0.0,0.0,110.0,5950.0,0.0,0.0,2780.0,0.0,360.0,680.0,0.0,430.0,0.0,0.0,500.0,0.0,0.0,3700.0,0.0,0.0,1420.0,1090.0,0.0,0.0,0.0,3980.0,0.0,0.0,270.0,200.0,5790.0,0.0,0.0,0.0,0.0,1450.0,230.0,2010.0,0.0,0.0,0.0,250.0,0.0,0.0,110.0,0.0,6360.0,0.0,0.0,0.0,510.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0,350.0,0.0,0.0,0.0,1030.0,0.0,0.0,1480.0,0.0,0.0,190.0,2270.0,0.0,2490.0,0.0,570.0,0.0,670.0,3590.0,1580.0,0.0,0.0,0.0,5410.0,0.0,0.0,0.0,1200.0,0.0,0.0,4540.0,0.0,0.0,0.0,5830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2280.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,760.0,0.0,0.0,15110.0,0.0,0.0,0.0,0.0,0.0,470.0,310.0,100.0
2009,2520.0,0.0,740.0,0.0,0.0,29050.0,140.0,0.0,100.0,0.0,0.0,2790.0,0.0,0.0,0.0,1010.0,7650.0,0.0,120.0,3100.0,0.0,3840.0,1150.0,0.0,430.0,0.0,0.0,500.0,0.0,0.0,3700.0,0.0,0.0,1420.0,1640.0,0.0,0.0,0.0,3980.0,0.0,0.0,270.0,200.0,5790.0,0.0,0.0,0.0,0.0,1800.0,460.0,3770.0,8580.0,0.0,0.0,250.0,0.0,0.0,110.0,0.0,9900.0,0.0,0.0,0.0,510.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,740.0,310.0,1100.0,0.0,0.0,0.0,2050.0,0.0,0.0,1480.0,0.0,0.0,190.0,2270.0,0.0,2490.0,0.0,1070.0,0.0,670.0,4680.0,1580.0,0.0,0.0,100.0,6190.0,0.0,0.0,0.0,1200.0,0.0,0.0,6720.0,0.0,0.0,0.0,5830.0,0.0,1000.0,0.0,260.0,0.0,0.0,7200.0,2280.0,0.0,0.0,0.0,680.0,0.0,320.0,0.0,760.0,1190.0,0.0,23310.0,0.0,0.0,0.0,0.0,0.0,470.0,680.0,100.0
2010,2520.0,0.0,740.0,0.0,5680.0,32390.0,140.0,0.0,100.0,0.0,100.0,2790.0,0.0,0.0,0.0,14890.0,8780.0,0.0,120.0,3990.0,500.0,10920.0,1150.0,1910.0,430.0,0.0,0.0,500.0,0.0,0.0,3700.0,0.0,0.0,2680.0,1640.0,0.0,140.0,0.0,3980.0,0.0,100.0,270.0,1400.0,5790.0,0.0,0.0,0.0,190.0,1800.0,1290.0,3770.0,8580.0,0.0,1440.0,450.0,0.0,140.0,110.0,0.0,10170.0,0.0,0.0,0.0,1740.0,110.0,0.0,0.0,0.0,350.0,0.0,0.0,0.0,740.0,310.0,1100.0,0.0,0.0,0.0,3530.0,0.0,0.0,1750.0,0.0,0.0,4870.0,2610.0,0.0,2870.0,0.0,1070.0,0.0,670.0,4680.0,1580.0,0.0,0.0,100.0,7020.0,0.0,0.0,0.0,1200.0,0.0,260.0,6720.0,0.0,0.0,0.0,6280.0,1090.0,1000.0,0.0,260.0,0.0,2700.0,7200.0,3760.0,0.0,0.0,0.0,1180.0,0.0,320.0,0.0,760.0,1190.0,0.0,32130.0,0.0,0.0,300.0,900.0,0.0,470.0,680.0,100.0
2011,2920.0,0.0,2910.0,0.0,6960.0,42270.0,280.0,0.0,100.0,0.0,100.0,2790.0,0.0,0.0,0.0,23110.0,9290.0,0.0,120.0,4490.0,1040.0,16380.0,1150.0,1910.0,430.0,120.0,0.0,500.0,0.0,0.0,4980.0,0.0,0.0,2680.0,1640.0,0.0,140.0,0.0,7730.0,0.0,100.0,2310.0,1400.0,5910.0,0.0,0.0,0.0,2110.0,1800.0,3160.0,3770.0,8580.0,0.0,1440.0,580.0,0.0,140.0,1520.0,0.0,10170.0,0.0,0.0,0.0,1740.0,110.0,0.0,150.0,0.0,2180.0,0.0,0.0,0.0,740.0,310.0,2110.0,0.0,0.0,0.0,3530.0,0.0,140.0,2020.0,0.0,0.0,4870.0,2610.0,2000.0,4960.0,0.0,1950.0,0.0,670.0,4680.0,1580.0,0.0,3510.0,100.0,9960.0,0.0,0.0,0.0,4910.0,0.0,1750.0,7980.0,0.0,0.0,0.0,8610.0,1090.0,1500.0,280.0,260.0,0.0,2700.0,7300.0,3760.0,0.0,0.0,0.0,1280.0,0.0,1170.0,0.0,760.0,1190.0,0.0,34300.0,0.0,0.0,300.0,1100.0,460.0,470.0,680.0,600.0
2012,2920.0,0.0,2910.0,0.0,6960.0,51350.0,280.0,0.0,100.0,0.0,100.0,3050.0,0.0,0.0,0.0,24860.0,16410.0,0.0,120.0,4730.0,1700.0,37950.0,1150.0,2100.0,1410.0,120.0,0.0,500.0,0.0,0.0,4980.0,0.0,190.0,2680.0,1870.0,0.0,140.0,0.0,8340.0,0.0,370.0,5010.0,1400.0,5910.0,1350.0,0.0,100.0,3310.0,2000.0,5260.0,3770.0,9400.0,0.0,1440.0,1280.0,0.0,140.0,1520.0,0.0,10670.0,0.0,0.0,0.0,2260.0,110.0,0.0,150.0,0.0,2640.0,0.0,0.0,0.0,740.0,310.0,2110.0,0.0,0.0,210.0,3530.0,0.0,140.0,2020.0,1170.0,300.0,4870.0,5240.0,2000.0,4960.0,0.0,2150.0,0.0,1760.0,4680.0,1580.0,100.0,4490.0,100.0,12470.0,0.0,0.0,0.0,4910.0,0.0,1750.0,8130.0,0.0,0.0,0.0,9090.0,1990.0,1500.0,430.0,260.0,0.0,2700.0,8170.0,3760.0,140.0,520.0,0.0,1550.0,190.0,1170.0,0.0,1610.0,1190.0,0.0,43280.0,100.0,0.0,300.0,1100.0,560.0,470.0,1510.0,600.0
2013,2920.0,0.0,5030.0,0.0,7080.0,60410.0,280.0,0.0,100.0,0.0,100.0,3050.0,0.0,0.0,0.0,27880.0,22740.0,0.0,120.0,5140.0,1700.0,38420.0,1150.0,2100.0,1410.0,2140.0,0.0,500.0,0.0,0.0,5150.0,0.0,190.0,2680.0,4970.0,0.0,140.0,0.0,9230.0,0.0,370.0,5810.0,1400.0,5910.0,1350.0,0.0,100.0,3310.0,2000.0,5780.0,3770.0,10650.0,0.0,1680.0,1280.0,0.0,140.0,1680.0,0.0,15970.0,0.0,0.0,0.0,2440.0,110.0,220.0,150.0,0.0,5870.0,0.0,0.0,0.0,740.0,590.0,2110.0,0.0,0.0,4820.0,3630.0,0.0,140.0,2490.0,1350.0,300.0,4870.0,5240.0,2000.0,4960.0,0.0,2150.0,0.0,1760.0,7570.0,1580.0,100.0,4590.0,100.0,17780.0,0.0,0.0,150.0,4910.0,0.0,1750.0,9500.0,0.0,0.0,0.0,9350.0,3100.0,2050.0,690.0,260.0,0.0,2700.0,8170.0,3760.0,140.0,520.0,0.0,1550.0,190.0,1170.0,0.0,1960.0,1190.0,450.0,59400.0,280.0,0.0,300.0,2500.0,790.0,470.0,1510.0,600.0
2014,2920.0,0.0,5150.0,740.0,7080.0,70470.0,280.0,0.0,100.0,0.0,100.0,3760.0,0.0,0.0,0.0,29460.0,29660.0,3440.0,120.0,5140.0,1700.0,42020.0,1520.0,2100.0,1410.0,2290.0,0.0,500.0,0.0,0.0,5150.0,0.0,190.0,4720.0,4970.0,0.0,440.0,0.0,12320.0,400.0,370.0,7430.0,1510.0,5910.0,3860.0,0.0,100.0,3310.0,2300.0,8370.0,4120.0,10650.0,0.0,3340.0,9140.0,0.0,870.0,1680.0,0.0,17590.0,0.0,0.0,520.0,2440.0,270.0,430.0,150.0,0.0,6270.0,0.0,0.0,440.0,740.0,590.0,2110.0,0.0,0.0,4820.0,3630.0,2160.0,140.0,4530.0,2460.0,300.0,4870.0,5240.0,2000.0,5600.0,0.0,3040.0,0.0,1760.0,14520.0,1580.0,300.0,7680.0,100.0,21160.0,0.0,0.0,150.0,4910.0,970.0,1750.0,10250.0,0.0,0.0,0.0,9580.0,4700.0,2590.0,1080.0,260.0,0.0,2700.0,8570.0,3760.0,140.0,520.0,0.0,2430.0,190.0,1170.0,0.0,2280.0,1790.0,450.0,77020.0,1200.0,0.0,300.0,2500.0,1000.0,470.0,1510.0,850.0
