Year,Agriculture,Chemicals,Energy,Entertainment,Finance,Health,Logistics,Metals,Other,Real estate,Technology,Tourism,Transport,Utilities
2005,0.0,180.0,6640.0,0.0,0.0,0.0,0.0,1310.0,150.0,0.0,1740.0,0.0,100.0,0.0
2006,480.0,180.0,16810.0,0.0,100.0,0.0,0.0,7780.0,270.0,1300.0,1740.0,0.0,1070.0,0.0
2007,480.0,880.0,20010.0,0.0,19560.0,0.0,150.0,13710.0,390.0,1450.0,2200.0,0.0,1340.0,0.0
2008,820.0,880.0,35540.0,0.0,24210.0,360.0,150.0,36510.0,390.0,1840.0,2200.0,1550.0,7460.0,3040.0
2009,1190.0,880.0,71210.0,0.0,27310.0,360.0,150.0,46810.0,1290.0,6440.0,3700.0,1800.0,8370.0,3040.0
2010,2770.0,1180.0,112400.0,100.0,30340.0,630.0,400.0,55720.0,2850.0,9780.0,4000.0,1800.0,13880.0,3040.0
2011,4380.0,5190.0,150060.0,500.0,32620.0,630.0,2740.0,66720.0,3820.0,13500.0,5780.0,1800.0,18620.0,3040.0
2012,8130.0,5190.0,190450.0,3670.0,35520.0,1650.0,3680.0,79390.0,5540.0,18600.0,7920.0,1930.0,21090.0,4160.0
2013,17770.0,5650.0,226210.0,4020.0,36540.0,2630.0,4150.0,85570.0,6690.0,31850.0,8230.0,5460.0,23870.0,4260.0
2014,25420.0,5650.0,255480.0,6130.0,42510.0,3220.0,5520.0,100060.0,8680.0,47350.0,16320.0,12070.0,30170.0,5060.0
2015,26610.0,5650.0,286880.0,9870.0,56550.0,5630.0,10950.0,105390.0,10160.0,62920.0,25010.0,16070.0,51470.0,5790.0
2016,32700.0,7300.0,324160.0,31900.0,59630.0,8450.0,14010.0,109990.0,22630.0,79780.0,48660.0,38440.0,62710.0,7720.0
2017,78570.0,7430.0,345140.0,38460.0,76250.0,14280.0,37890.0,114200.0,28740.0,95390.0,52250.0,43240.0,83500.0,7830.0
2018,81510.0,8510.0,368210.0,43170.0,81060.0,20310.0,38360.0,129480.0,42640.0,100550.0,60890.0,43800.0,113270.0,9420.0
2019,83510.0,8780.0,398160.0,53110.0,83420.0,23210.0,39570.0,141200.0,48610.0,105290.0,66280.0,45770.0,131150.0,9420.0
2020,84230.0,8960.0,413460.0,57170.0,84820.0,24540.0,41560.0,145310.0,50780.0,109870.0,68900.0,45950.0,137880.0,9420.0
2021,84770.0,9480.0,428610.0,58980.0,85740.0,28490.0,43710.0,152490.0,59180.0,110830.0,70930.0,45950.0,148200.0,9520.0
2022,84940.0,9480.0,444570.0,59530.0,88900.0,30700.0,43850.0,161410.0,63810.0,112770.0,72710.0,45950.0,153060.0,9520.0
2023,86140.0,11040.0,457680.0,61050.0,89440.0,31760.0,45480.0,176740.0,69430.0,114480.0,77000.0,46070.0,168600.0,9850.0
2024,87050.0,14360.0,469810.0,63270.0,89640.0,31860.0,46040.0,189970.0,71780.0,118900.0,79640.0,46070.0,185790.0,9990.0
2025,88120.0,15810.0,485700.0,65600.0,89640.0,32080.0,46650.0,202780.0,78310.0,120440.0,84460.0,48140.0,203400.0,10300.0
