Year,Afghanistan,Algeria,Angola,Antigua and Barbuda,Argentina,Australia,Austria,Azerbaijan,Bahamas,Bangladesh,Belarus,Belgium,Bolivia,Bosnia,Botswana,Brazil,Britain,Brunei,Bulgaria,Cambodia,Cameroon,Canada,Chad,Chile,Colombia,Congo,Croatia,Cuba,Cyprus,Czech Republic,Democratic Republic of the Congo,Denmark,Djibouti,Ecuador,Egypt,Eritrea,Ethiopia,Finland,France,Gabon,Georgia,Germany,Ghana,Greece,Guinea,Guinea-Bissau,Guyana,Hungary,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Ivory Coast,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kuwait,Kyrgyzstan,Laos,Liberia,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Mauritius,Mexico,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Korea,Norway,Oman,Pakistan,Panama,Papua New Guinea,Peru,Philippines,Poland,Portugal,Qatar,Russian Federation,Rwanda,Samoa,Sao Tome,Saudi Arabia,Serbia,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,South Africa,South Korea,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Togo,Trinidad-Tobago,Tunisia,Turkey,Turkmenistan,UAE,USA,Uganda,Ukraine,Uzbekistan,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe
2005,0.0,0.0,0.0,0.0,0.0,3.1620553359683794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9881422924901186,0.0,0.0,2.766798418972332,0.0,2.4703557312252964,0.0,0.0,0.0,0.0,0.0,4.940711462450593,0.0,0.0,0.0,0.0,0.0,14.031620553359684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.50197628458498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9762845849802373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.620553359683795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8656126482213438,0.0,0.0,0.0,1.4822134387351777,0.0,0.0,0.0,0.0,0.0,0.0,17.193675889328063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,0.0,0.0,2.4890682811974436,0.0,0.0,10.898082744702322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.027245206861756,0.0,0.0,0.9418096199125462,0.0,1.2108980827447022,1.6145307769929365,0.0,1.4463504877228388,0.0,0.0,1.6818028927009756,0.0,0.0,3.901782711066263,0.0,0.0,4.77632021527077,3.1617894382778338,0.0,0.0,0.0,1.6145307769929365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3363605785401951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3699966363942146,0.0,20.55163134880592,0.0,0.0,0.0,0.4709048099562731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6727211570803902,0.0,0.0,0.0,0.0,0.0,0.0,0.3363605785401951,0.0,0.0,0.0,7.635385132862428,0.0,0.0,0.0,0.0,0.0,2.253615876219307,0.0,0.0,0.0,0.0,0.0,18.197107299024555,0.0,0.0,0.0,0.0,0.0,0.0,3.2626976118398923,0.0,0.0,0.0,0.7736293306424488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9754456777665658,0.0,0.0,0.0,0.5045408678102926,0.0,0.0,0.0,0.0,0.0,0.0,5.852674066599395,0.0,0.0,0.0,0.0,0.0,0.0,1.0427177934746048,0.0
2007,4.188133621406016,0.0,1.229848761841449,0.0,0.0,6.099385075619079,0.0,0.0,0.0,0.0,0.0,4.636862223699518,0.0,0.0,0.0,0.0,6.548113677912582,0.0,0.0,0.46534818015622403,0.0,0.5983048030580024,1.1301312946651156,0.0,0.7146418480970583,0.0,0.0,0.8309788931361143,0.0,0.0,1.9278710320757853,0.0,0.0,2.359980056506565,1.8115339870367293,0.0,0.0,0.0,1.9611101878012298,0.0,0.0,0.21605451221538974,0.33239155725444575,0.0,0.0,0.0,0.0,0.0,0.41548944656805714,0.16619577862722287,3.3405351504071796,0.0,0.0,0.0,0.0,0.0,0.0,0.18281535648994515,0.0,10.154562074123318,0.0,0.0,0.0,0.8475984709988366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16619577862722287,0.33239155725444575,0.0,0.0,0.0,0.3656307129798903,0.0,0.0,0.39886986870533486,0.0,0.0,0.0,3.7726441748379593,0.0,0.0,0.0,0.7645005816852253,0.0,1.1135117168023931,2.376599634369287,0.0,0.0,0.0,0.0,8.991191623732757,0.0,0.0,0.0,1.9943493435266746,0.0,0.0,1.6120990526840617,0.0,0.0,0.0,9.689213893967093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4819677580189463,0.0,0.0,0.0,0.24929366794083432,0.0,0.0,0.0,0.0,0.0,0.0,16.852251952800398,0.0,0.0,0.0,0.0,0.0,0.0,0.5152069137443909,0.16619577862722287
2008,2.192257503262288,0.0,0.6437581557198783,0.0,0.0,17.32927359721618,0.0,0.0,0.0,0.0,0.0,2.427142235754676,0.0,0.0,0.0,0.09569377990430622,5.176163549369291,0.0,0.0,2.418442801217921,0.0,0.313179643323184,0.5915615484993475,0.0,0.37407568508046973,0.0,0.0,0.4349717268377556,0.0,0.0,3.218790778599391,0.0,0.0,1.2353197042192259,0.9482383645063072,0.0,0.0,0.0,3.4623749456285338,0.0,0.0,0.234884732492388,0.17398869073510223,5.036972596781209,0.0,0.0,0.0,0.0,1.2614180078294912,0.20008699434536756,1.7485863418877774,0.0,0.0,0.0,0.2174858634188778,0.0,0.0,0.09569377990430622,0.0,5.53284036537625,0.0,0.0,0.0,0.4436711613745106,0.09569377990430622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2696824706394084,0.3044802087864289,0.0,0.0,0.0,0.8960417572857765,0.0,0.0,1.2875163114397565,0.0,0.0,0.1652892561983471,1.97477163984341,0.0,2.1661591996520224,0.0,0.49586776859504134,0.0,0.5828621139625925,3.1230969986950847,1.3745106568073076,0.0,0.0,0.0,4.706394084384515,0.0,0.0,0.0,1.0439321444106133,0.0,0.0,3.94954327968682,0.0,0.0,0.0,5.071770334928229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9834710743801653,0.0,0.0,0.0,0.13049151805132667,0.0,0.0,0.0,0.6611570247933884,0.0,0.0,13.144845585036974,0.0,0.0,0.0,0.0,0.0,0.40887342322749026,0.2696824706394084,0.08699434536755112
2009,1.460446247464503,0.0,0.42886119965227465,0.0,0.0,16.835699797160245,0.08113590263691683,0.0,0.057954216169226316,0.0,0.0,1.616922631121414,0.0,0.0,0.0,0.5853375833091857,4.433497536945813,0.0,0.06954505940307157,1.7965807012460158,0.0,2.22544190089829,0.6664734859461026,0.0,0.24920312952767315,0.0,0.0,0.28977108084613157,0.0,0.0,2.1443059982613732,0.0,0.0,0.8229498696030136,0.9504491451753114,0.0,0.0,0.0,2.306577803535207,0.0,0.0,0.15647638365691105,0.11590843233845263,3.355549116198203,0.0,0.0,0.0,0.0,1.0431758910460736,0.26658939437844104,2.1848739495798317,4.972471747319618,0.0,0.0,0.14488554042306578,0.0,0.0,0.06374963778614895,0.0,5.737467400753405,0.0,0.0,0.0,0.2955665024630542,0.06374963778614895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42886119965227465,0.17965807012460155,0.6374963778614894,0.0,0.0,0.0,1.1880614314691393,0.0,0.0,0.8577223993045493,0.0,0.0,0.11011301072152999,1.3155607070414372,0.0,1.4430599826137351,0.0,0.6201101130107215,0.0,0.3882932483338163,2.7122573167197914,0.9156766154737758,0.0,0.0,0.057954216169226316,3.587365980875109,0.0,0.0,0.0,0.6954505940307157,0.0,0.0,3.894523326572008,0.0,0.0,0.0,3.378730802665894,0.0,0.5795421616922631,0.0,0.1506809620399884,0.0,0.0,4.172703564184294,1.32135612865836,0.0,0.0,0.0,0.3940886699507389,0.0,0.1854534917415242,0.0,0.44045204288611994,0.6896551724137931,0.0,13.509127789046655,0.0,0.0,0.0,0.0,0.0,0.2723848159953637,0.3940886699507389,0.057954216169226316
2010,1.0548788145171417,0.0,0.309766001088367,0.0,2.377663359705304,13.55854158817866,0.05860437858428566,0.0,0.0418602704173469,0.0,0.0418602704173469,1.1679015446439784,0.0,0.0,0.0,6.232994265142953,3.675331742643057,0.0,0.05023232450081628,1.6702247896521412,0.20930135208673448,4.571141529574281,0.4813931097994893,0.7995311649713257,0.17999916279459166,0.0,0.0,0.20930135208673448,0.0,0.0,1.5488300054418351,0.0,0.0,1.1218552471848968,0.6865084348444891,0.0,0.05860437858428566,0.0,1.6660387626104063,0.0,0.0418602704173469,0.11302273012683663,0.5860437858428565,2.4237096571643852,0.0,0.0,0.0,0.0795345137929591,0.7534848675122442,0.5399974883837749,1.5781321947339781,3.5916112018083637,0.0,0.6027878940097953,0.18837121687806105,0.0,0.05860437858428566,0.046046297459081585,0.0,4.257189501444179,0.0,0.0,0.0,0.728368705261836,0.046046297459081585,0.0,0.0,0.0,0.14651094646071414,0.0,0.0,0.0,0.309766001088367,0.1297668382937754,0.46046297459081587,0.0,0.0,0.0,1.4776675457323454,0.0,0.0,0.7325547323035707,0.0,0.0,2.0385951693247937,1.092553057892754,0.0,1.2013897609778559,0.0,0.44790489346561174,0.0,0.2804638117962242,1.9590606555318346,0.661392272594081,0.0,0.0,0.0418602704173469,2.938590983297752,0.0,0.0,0.0,0.5023232450081627,0.0,0.10883670308510192,2.8130101720457117,0.0,0.0,0.0,2.628824982209385,0.4562769475490812,0.41860270417346895,0.0,0.10883670308510192,0.0,1.1302273012683661,3.0139394700489768,1.5739461676922435,0.0,0.0,0.0,0.49395119092469336,0.0,0.13395286533551007,0.0,0.3181380551718364,0.498137217966428,0.0,13.449704885093558,0.0,0.0,0.12558081125204068,0.3767424337561221,0.0,0.19674327096153044,0.28464983883795886,0.0418602704173469
2011,0.9437621202327084,0.0,0.940530058177117,0.0,2.2495151906916613,13.661926308985132,0.09049773755656108,0.0,0.03232062055591467,0.0,0.03232062055591467,0.9017453135100193,0.0,0.0,0.0,7.469295410471881,3.002585649644473,0.0,0.03878474466709761,1.4511958629605688,0.33613445378151263,5.294117647058823,0.3716871363930187,0.6173238526179703,0.1389786683904331,0.03878474466709761,0.0,0.16160310277957335,0.0,0.0,1.6095669036845506,0.0,0.0,0.8661926308985133,0.5300581771170007,0.0,0.04524886877828054,0.0,2.4983839689722043,0.0,0.03232062055591467,0.746606334841629,0.4524886877828055,1.9101486748545573,0.0,0.0,0.0,0.6819650937297996,0.5817711700064642,1.0213316095669036,1.2184873949579833,2.773109243697479,0.0,0.4654169360051713,0.1874595992243051,0.0,0.04524886877828054,0.491273432449903,0.0,3.2870071105365226,0.0,0.0,0.0,0.5623787976729153,0.03555268261150614,0.0,0.04848093083387201,0.0,0.7045895281189399,0.0,0.0,0.0,0.2391725921137686,0.10019392372333548,0.6819650937297996,0.0,0.0,0.0,1.140917905623788,0.0,0.04524886877828054,0.6528765352294764,0.0,0.0,1.5740142210730446,0.843568196509373,0.6464124111182934,1.6031027795733677,0.0,0.6302521008403361,0.0,0.21654815772462832,1.5126050420168067,0.5106658047834518,0.0,1.134453781512605,0.03232062055591467,3.219133807369101,0.0,0.0,0.0,1.5869424692954104,0.0,0.5656108597285068,2.5791855203619907,0.0,0.0,0.0,2.7828054298642533,0.35229476405946997,0.4848093083387201,0.09049773755656108,0.08403361344537816,0.0,0.8726567550096962,2.3594053005817712,1.2152553329023918,0.0,0.0,0.0,0.41370394311570785,0.0,0.37815126050420167,0.0,0.2456367162249515,0.38461538461538464,0.0,11.085972850678733,0.0,0.0,0.09696186166774402,0.3555268261150614,0.1486748545572075,0.15190691661279898,0.21978021978021978,0.19392372333548805
2012,0.7546779696061201,0.0,0.7520934560115786,0.0,1.7988214618008889,13.271477307970638,0.0723663806471622,0.0,0.02584513594541507,0.0,0.02584513594541507,0.7882766463351598,0.0,0.0,0.0,6.425100796030186,4.241186808642613,0.0,0.031014163134498084,1.222474930218133,0.4393673110720563,9.80822909128502,0.29721906337227333,0.5427478548537166,0.36441641683035253,0.031014163134498084,0.0,0.12922567972707535,0.0,0.0,1.2870877700816705,0.0,0.04910575829628863,0.692649643337124,0.4833040421792618,0.0,0.0361831903235811,0.0,2.155484337847617,0.0,0.09562700299803577,1.2948413108652952,0.361831903235811,1.5274475343740308,0.3489093352631035,0.0,0.02584513594541507,0.855473999793239,0.5169027189083014,1.3594541507288327,0.9743616251421483,2.4294427788690167,0.0,0.3721699576139771,0.33081774010131293,0.0,0.0361831903235811,0.39284606637030905,0.0,2.7576760053757883,0.0,0.0,0.0,0.5841000723663806,0.028429649539956577,0.0,0.038767703918122606,0.0,0.6823115889589579,0.0,0.0,0.0,0.19125400599607154,0.08011992143078672,0.545332368448258,0.0,0.0,0.05427478548537166,0.912333298873152,0.0,0.0361831903235811,0.5220717460973845,0.30238809056135635,0.07753540783624521,1.258658120541714,1.3542851235397497,0.5169027189083014,1.2819187428925876,0.0,0.5556704228264241,0.0,0.45487439263930524,1.2095523622454254,0.4083531479375581,0.02584513594541507,1.1604466039491368,0.02584513594541507,3.22288845239326,0.0,0.0,0.0,1.2689961749198801,0.0,0.4522898790447638,2.1012095523622456,0.0,0.0,0.0,2.34932285743823,0.5143182053137599,0.3876770391812261,0.1111340845652848,0.06719735345807919,0.0,0.697818670526207,2.1115476067404115,0.9717771115476068,0.0361831903235811,0.13439470691615837,0.0,0.40059960715393367,0.04910575829628863,0.30238809056135635,0.0,0.4161066887211827,0.30755711775043937,0.0,11.185774837175643,0.02584513594541507,0.0,0.07753540783624521,0.2842964953995658,0.1447327612943244,0.12147213894345085,0.3902615527757676,0.15507081567249043
2013,0.630805789587384,0.0,1.0866277813782674,0.0,1.5294880103694102,13.050334845538995,0.060488226398790236,0.0,0.02160293799956794,0.0,0.02160293799956794,0.6588896089868221,0.0,0.0,0.0,6.022899114279542,4.91250810110175,0.0,0.025923525599481533,1.110391013177792,0.367249945992655,8.299848779434003,0.24843378699503132,0.45366169799092676,0.304601425793908,0.4623028731907539,0.0,0.10801468999783971,0.0,0.0,1.1125513069777488,0.0,0.04104558219917909,0.5789587383884208,1.0736660185785265,0.0,0.030244113199395118,0.0,1.993951177360121,0.0,0.07993087059840139,1.2551306977748973,0.3024411319939512,1.2767336357744654,0.2916396629941672,0.0,0.02160293799956794,0.7150572477856988,0.43205875999135884,1.248649816375027,0.8144307625837115,2.3007128969539856,0.0,0.36292935839274143,0.27651760639446965,0.0,0.030244113199395118,0.36292935839274143,0.0,3.4499891985310005,0.0,0.0,0.0,0.5271116871894578,0.023763231799524737,0.047526463599049475,0.03240440699935191,0.0,1.2680924605746382,0.0,0.0,0.0,0.15986174119680277,0.12745733419745087,0.45582199179088356,0.0,0.0,1.0412616115791746,0.7841866493843161,0.0,0.030244113199395118,0.5379131561892417,0.2916396629941672,0.06480881399870382,1.0520630805789588,1.1319939511773602,0.43205875999135884,1.0715057247785698,0.0,0.4644631669907107,0.0,0.3802117087923958,1.635342406567293,0.34132642039317346,0.02160293799956794,0.9915748541801686,0.02160293799956794,3.8410023763231798,0.0,0.0,0.03240440699935191,1.060704255778786,0.0,0.378051414992439,2.0522791099589544,0.0,0.0,0.0,2.0198747029596027,0.6696910779866062,0.44286022899114275,0.1490602721970188,0.056167638798876644,0.0,0.5832793259883344,1.764960034564701,0.8122704687837545,0.030244113199395118,0.11233527759775329,0.0,0.3348455389933031,0.04104558219917909,0.25275437459494493,0.0,0.4234175847915317,0.2570749621948585,0.09721322099805574,12.832145171743356,0.060488226398790236,0.0,0.06480881399870382,0.5400734499891985,0.17066321019658673,0.10153380859796932,0.32620436379347595,0.12961762799740764
2014,0.5180611737988787,0.0,0.9137037825562416,0.13128947555177065,1.2561209282520758,12.502661273153077,0.04967709885742673,0.0,0.017741821020509543,0.0,0.017741821020509543,0.6670924703711589,0.0,0.0,0.0,5.2267404726421125,5.262224114683131,0.6103186431055283,0.021290185224611454,0.9119296004541906,0.3016109573486623,7.455113192818111,0.2696756795117451,0.37257824143070045,0.2501596763891846,0.4062877013696686,0.0,0.08870910510254773,0.0,0.0,0.9137037825562416,0.0,0.033709459938968137,0.8374139521680505,0.8817685047193244,0.0,0.078064012490242,0.0,2.185792349726776,0.07096728408203817,0.06564473777588532,1.3182173018238592,0.26790149740969416,1.048541622312114,0.6848342913916685,0.0,0.017741821020509543,0.5872542757788659,0.40806188347171957,1.484990419416649,0.7309630260449933,1.8895039386842665,0.0,0.5925768220850188,1.6216024412745726,0.0,0.15435384287843304,0.29806259314456035,0.0,3.120786317507629,0.0,0.0,0.09225746930664963,0.4329004329004329,0.04790291675537577,0.07628983038819104,0.02661273153076432,0.0,1.1124121779859486,0.0,0.0,0.078064012490242,0.13128947555177065,0.10467674402100631,0.37435242353275144,0.0,0.0,0.8551557731885601,0.6440281030444965,0.3832233340430062,0.024838549428713365,0.8037044922290824,0.4364487971045349,0.05322546306152864,0.8640266836988147,0.9296714214747003,0.3548364204101909,0.9935419771485345,0.0,0.5393513590234902,0.0,0.312256049960968,2.576112412177986,0.2803207721240508,0.05322546306152864,1.362571854375133,0.017741821020509543,3.75416932793982,0.0,0.0,0.02661273153076432,0.8711234121070187,0.1720956638989426,0.31048186785891707,1.8185366546022284,0.0,0.0,0.0,1.6996664537648143,0.8338655879639487,0.4595131644311972,0.1916116670215031,0.046128734653324815,0.0,0.47902916755375774,1.5204740614576682,0.6670924703711589,0.024838549428713365,0.09225746930664963,0.0,0.43112625079838196,0.033709459938968137,0.2075793059399617,0.0,0.40451351926761764,0.31757859626712087,0.07983819459229295,13.664750549996452,0.21290185224611455,0.0,0.05322546306152864,0.4435455255127387,0.17741821020509546,0.08338655879639487,0.26790149740969416,0.15080547867433114
