Category,Year,Stock proxy (USD millions),Share of total stock (%)
USA,2025,204880.0,13.037806329266974
Australia,2025,108180.0,6.8841755598404
Britain,2025,107050.0,6.81226653430315
Brazil,2025,80550.0,5.1259044309959725
Switzerland,2025,62870.0,4.00081454471405
Canada,2025,57280.0,3.6450875953749136
Germany,2025,56340.0,3.5852694679368478
Indonesia,2025,49350.0,3.140451690498463
Singapore,2025,46830.0,2.9800881999198183
France,2025,37130.0,2.3628160338036057
Russian Federation,2025,34250.0,2.179543473142297
Malaysia,2025,30030.0,1.910998262728852
Peru,2025,29100.0,1.8518164983486378
Italy,2025,25750.0,1.6386348739682963
Kazakhstan,2025,24560.0,1.5629076700839364
Netherlands,2025,21770.0,1.3853623769432937
Democratic Republic of the Congo,2025,20150.0,1.2822715615713076
Finland,2025,18480.0,1.1759989309100627
Laos,2025,17780.0,1.1314535168604392
Chile,2025,17550.0,1.1168171665298485
India,2025,17280.0,1.099635363967851
Sweden,2025,17250.0,1.0977262747942955
Pakistan,2025,16560.0,1.0538172238025239
Saudi Arabia,2025,15700.0,0.999090000827272
Iraq,2025,15560.0,0.9901809180173473
South Korea,2025,14890.0,0.9475445931412789
Cambodia,2025,14590.0,0.9284537014057259
Vietnam,2025,14520.0,0.9239991600007637
Guyana,2025,14320.0,0.9112718988437284
Japan,2025,13840.0,0.8807264720668435
Hungary,2025,13800.0,0.8781810198354365
Spain,2025,13540.0,0.8616355803312906
Argentina,2025,13530.0,0.8609992172734388
Guinea,2025,13410.0,0.8533628605792176
Israel,2025,12730.0,0.8100901726452977
Thailand,2025,12150.0,0.7731811152898952
Portugal,2025,11800.0,0.7509084082650834
South Africa,2025,11730.0,0.746453866860121
Ireland,2025,11450.0,0.7286357012402717
Greece,2025,9660.0,0.6147267138848056
Egypt,2025,8750.0,0.5568176756202948
Colombia,2025,8340.0,0.5307267902483725
Nigeria,2025,8280.0,0.5269086119012619
UAE,2025,8160.0,0.5192722552070407
Norway,2025,8050.0,0.5122722615706713
Bangladesh,2025,7740.0,0.49254500677726654
Myanmar,2025,7090.0,0.4511814080169018
Turkey,2025,6830.0,0.4346359685127559
Ecuador,2025,6790.0,0.4320905162813488
Zambia,2025,6780.0,0.43145415322349706
Mexico,2025,6500.0,0.4136359876036476
Belgium,2025,5830.0,0.37099966272757934
Serbia,2025,5820.0,0.3703632996697276
