Category,Year,Stock proxy (USD millions),Share of total stock (%)
Energy,2025,485700.0,30.908153719860255
Transport,2025,203400.0,12.943624596704911
Metals,2025,202780.0,12.904170087118102
Real estate,2025,120440.0,7.664356668766664
Finance,2025,89640.0,5.704358450583227
Agriculture,2025,88120.0,5.607631265789759
Technology,2025,84460.0,5.374722386616012
Other,2025,78310.0,4.9833591060371765
Entertainment,2025,65600.0,4.174541659507582
Tourism,2025,48140.0,3.0634517604983995
Logistics,2025,46650.0,2.968633664878486
Health,2025,32080.0,2.041452689588464
Chemicals,2025,15810.0,1.0060899944636414
Utilities,2025,10300.0,0.6554539495873185
