Sector,Stock 2005 (USD mn),Stock 2025 (USD mn),Share 2005 (%),Share 2025 (%),Change in share (percentage points)
Energy,6640.0,485700.0,65.61264822134387,30.908153719860255,-34.70449450148362
Transport,100.0,203400.0,0.9881422924901186,12.943624596704911,11.955482304214792
Metals,1310.0,202780.0,12.944664031620553,12.904170087118102,-0.04049394450245103
Real estate,0.0,120440.0,0.0,7.664356668766664,7.664356668766664
Finance,0.0,89640.0,0.0,5.704358450583227,5.704358450583227
Agriculture,0.0,88120.0,0.0,5.607631265789759,5.607631265789759
Technology,1740.0,84460.0,17.193675889328063,5.374722386616012,-11.81895350271205
Other,150.0,78310.0,1.4822134387351777,4.9833591060371765,3.5011456673019987
Entertainment,0.0,65600.0,0.0,4.174541659507582,4.174541659507582
Tourism,0.0,48140.0,0.0,3.0634517604983995,3.0634517604983995
Logistics,0.0,46650.0,0.0,2.968633664878486,2.968633664878486
Health,0.0,32080.0,0.0,2.041452689588464,2.041452689588464
Chemicals,180.0,15810.0,1.7786561264822136,1.0060899944636414,-0.7725661320185722
Utilities,0.0,10300.0,0.0,0.6554539495873185,0.6554539495873185
